Timestamp,Lot,Occupancy level,Day of week,Hour of day
2023-01-22T22:46:14-05:00,3,95.0,Monday,14
2023-01-22T22:52:29-05:00,3,93.75,Monday,14
2023-01-22T11:54:29-05:00,3,93.75,Monday,3
2023-01-22T23:01:51-05:00,3,92.5,Monday,15
2023-01-22T23:39:29-05:00,3,93.75,Monday,15
2023-01-22T23:45:06-05:00,3,93.75,Monday,15
2023-01-23T00:45:07-05:00,3,87.5,Monday,16
2023-01-23T01:30:08-05:00,3,86.25,Monday,17
2023-01-23T02:15:06-05:00,3,92.5,Monday,18
2023-01-23T03:00:11-05:00,3,90.0,Monday,19
2023-01-23T03:45:06-05:00,3,92.5,Monday,19
2023-01-23T04:15:06-05:00,3,90.0,Monday,20
2023-01-23T04:30:10-05:00,3,88.75,Monday,20
2023-01-23T06:30:07-05:00,3,83.75,Monday,22
2023-01-23T07:00:11-05:00,3,77.5,Monday,23
2023-01-23T07:45:06-05:00,3,76.25,Monday,23
2023-01-23T08:15:05-05:00,3,75.0,Tuesday,0
2023-01-23T08:30:08-05:00,3,72.5,Tuesday,0
2023-01-23T08:45:05-05:00,3,70.0,Tuesday,0
2023-01-23T09:00:13-05:00,3,70.0,Tuesday,1
2023-01-23T09:30:07-05:00,3,71.25,Tuesday,1
2023-01-23T10:00:09-05:00,3,66.25,Tuesday,2
2023-01-23T10:15:07-05:00,3,63.74999999999999,Tuesday,2
2023-01-23T10:45:04-05:00,3,62.5,Tuesday,2
2023-01-23T13:45:08-05:00,3,62.5,Tuesday,5
2023-01-23T14:00:10-05:00,3,63.74999999999999,Tuesday,6
2023-01-23T14:15:07-05:00,3,60.0,Tuesday,6
2023-01-23T16:45:05-05:00,3,91.25,Tuesday,8
2023-01-23T17:15:06-05:00,3,96.25,Tuesday,9
2023-01-22T22:51:45-05:00,3,93.75,Monday,14
2023-01-23T17:30:09-05:00,3,93.75,Tuesday,9
2023-01-22T22:58:19-05:00,3,92.5,Monday,14
2023-01-23T18:00:10-05:00,3,96.25,Tuesday,10
2023-01-22T23:37:17-05:00,3,93.75,Monday,15
2023-01-23T18:15:05-05:00,3,97.5,Tuesday,10
2023-01-23T00:00:12-05:00,3,96.25,Monday,16
2023-01-23T19:15:07-05:00,3,95.0,Tuesday,11
2023-01-23T00:30:12-05:00,3,90.0,Monday,16
2023-01-23T19:45:07-05:00,3,88.75,Tuesday,11
2023-01-23T01:15:04-05:00,3,83.75,Monday,17
2023-01-23T21:30:11-05:00,3,95.0,Tuesday,13
2023-01-23T01:45:04-05:00,3,85.0,Monday,17
2023-01-23T21:45:08-05:00,3,95.0,Tuesday,13
2023-01-23T02:00:12-05:00,3,86.25,Monday,18
2023-01-23T22:00:17-05:00,3,95.0,Tuesday,14
2023-01-23T03:30:13-05:00,3,90.0,Monday,19
2023-01-23T22:30:08-05:00,3,96.25,Tuesday,14
2023-01-23T04:00:14-05:00,3,87.5,Monday,20
2023-01-23T22:45:08-05:00,3,96.25,Tuesday,14
2023-01-23T04:45:04-05:00,3,81.25,Monday,20
2023-01-23T23:00:14-05:00,3,95.0,Tuesday,15
2023-01-23T05:15:07-05:00,3,85.0,Monday,21
2023-01-24T00:30:09-05:00,3,91.25,Tuesday,16
2023-01-23T05:45:06-05:00,3,72.5,Monday,21
2023-01-24T01:00:11-05:00,3,75.0,Tuesday,17
2023-01-23T06:00:10-05:00,3,81.25,Monday,22
2023-01-24T02:00:16-05:00,3,91.25,Tuesday,18
2023-01-23T06:15:07-05:00,3,82.5,Monday,22
2023-01-24T03:00:12-05:00,3,92.5,Tuesday,19
2023-01-23T07:15:04-05:00,3,77.5,Monday,23
2023-01-24T03:15:09-05:00,3,90.0,Tuesday,19
2023-01-23T07:30:08-05:00,3,77.5,Monday,23
2023-01-24T04:30:06-05:00,3,72.5,Tuesday,20
2023-01-23T08:00:14-05:00,3,76.25,Tuesday,0
2023-01-24T05:00:09-05:00,3,70.0,Tuesday,21
2023-01-23T09:15:07-05:00,3,68.75,Tuesday,1
2023-01-24T05:30:05-05:00,3,72.5,Tuesday,21
2023-01-23T11:30:08-05:00,3,62.5,Tuesday,3
2023-01-24T06:15:05-05:00,3,72.5,Tuesday,22
2023-01-23T11:45:07-05:00,3,61.25000000000001,Tuesday,3
2023-01-24T06:30:07-05:00,3,70.0,Tuesday,22
2023-01-23T12:00:14-05:00,3,60.0,Tuesday,4
2023-01-24T06:45:05-05:00,3,65.0,Tuesday,22
2023-01-23T12:15:07-05:00,3,57.49999999999999,Tuesday,4
2023-01-24T07:45:05-05:00,3,62.5,Tuesday,23
2023-01-23T13:30:09-05:00,3,63.74999999999999,Tuesday,5
2023-01-24T08:15:05-05:00,3,66.25,Wednesday,0
2023-01-23T14:30:12-05:00,3,66.25,Tuesday,6
2023-01-24T10:30:06-05:00,3,67.5,Wednesday,2
2023-01-23T15:00:10-05:00,3,62.5,Tuesday,7
2023-01-24T10:45:05-05:00,3,67.5,Wednesday,2
2023-01-23T15:30:10-05:00,3,63.74999999999999,Tuesday,7
2023-01-24T11:00:07-05:00,3,67.5,Wednesday,3
2023-01-23T15:45:09-05:00,3,61.25000000000001,Tuesday,7
2023-01-24T11:30:06-05:00,3,63.74999999999999,Wednesday,3
2023-01-23T16:00:11-05:00,3,65.0,Tuesday,8
2023-01-24T12:45:06-05:00,3,63.74999999999999,Wednesday,4
2023-01-23T16:15:09-05:00,3,72.5,Tuesday,8
2023-01-24T14:00:07-05:00,3,62.5,Wednesday,6
2023-01-23T16:30:08-05:00,3,78.75,Tuesday,8
2023-01-24T14:15:06-05:00,3,61.25000000000001,Wednesday,6
2023-01-23T17:45:05-05:00,3,95.0,Tuesday,9
2023-01-24T14:30:07-05:00,3,62.5,Wednesday,6
2023-01-23T18:45:04-05:00,3,93.75,Tuesday,10
2023-01-24T14:45:05-05:00,3,68.75,Wednesday,6
2023-01-23T19:30:11-05:00,3,87.5,Tuesday,11
2023-01-24T16:45:05-05:00,3,88.75,Wednesday,8
2023-01-23T20:00:16-05:00,3,90.0,Tuesday,12
2023-01-24T17:45:05-05:00,3,91.25,Wednesday,9
2023-01-23T20:15:06-05:00,3,91.25,Tuesday,12
2023-01-24T18:15:07-05:00,3,91.25,Wednesday,10
2023-01-23T23:30:09-05:00,3,93.75,Tuesday,15
2023-01-24T18:30:06-05:00,3,91.25,Wednesday,10
2023-01-23T23:45:07-05:00,3,88.75,Tuesday,15
2023-01-24T19:45:05-05:00,3,92.5,Wednesday,11
2023-01-24T00:00:11-05:00,3,88.75,Tuesday,16
2023-01-24T21:30:06-05:00,3,86.25,Wednesday,13
2023-01-24T01:45:08-05:00,3,91.25,Tuesday,17
2023-01-24T21:45:05-05:00,3,87.5,Wednesday,13
2023-01-24T02:15:05-05:00,3,90.0,Tuesday,18
2023-01-24T22:00:09-05:00,3,88.75,Wednesday,14
2023-01-24T02:30:08-05:00,3,85.0,Tuesday,18
2023-01-24T23:30:06-05:00,3,96.25,Wednesday,15
